date,segment,state,loan_count,loan_value_million
2016-06-01,Owner-occupier,NT,618,220.1
2016-06-01,Owner-occupier,QLD,18952,6712.8
2016-06-01,Owner-occupier,SA,6834,2111.6
2016-06-01,Owner-occupier,TAS,1920,480.7
2016-06-01,Owner-occupier,VIC,24753,10314.9
2016-06-01,Owner-occupier,WA,9809,3687.0
2016-09-01,Owner-occupier,ACT,1789,760.0
2016-09-01,Owner-occupier,NSW,21773,11149.5
2016-09-01,Owner-occupier,NT,598,211.2
2016-09-01,Owner-occupier,QLD,18452,6724.2
2016-09-01,Owner-occupier,SA,6497,2072.4
2016-09-01,Owner-occupier,TAS,1981,517.7
2016-09-01,Owner-occupier,VIC,22112,9435.7
2016-09-01,Owner-occupier,WA,9349,3638.9
2016-12-01,Owner-occupier,ACT,1884,795.3
2016-12-01,Owner-occupier,NSW,22553,11587.8
2016-12-01,Owner-occupier,NT,596,227.4
2016-12-01,Owner-occupier,QLD,18629,6854.5
2016-12-01,Owner-occupier,SA,6371,2023.8
2016-12-01,Owner-occupier,TAS,2042,516.3
2016-12-01,Owner-occupier,VIC,23194,9980.0
2016-12-01,Owner-occupier,WA,9134,3555.1
2017-03-01,Owner-occupier,ACT,2069,876.1
2017-03-01,Owner-occupier,NSW,24520,12582.9
2017-03-01,Owner-occupier,NT,625,229.1
2017-03-01,Owner-occupier,QLD,19337,6982.8
2017-03-01,Owner-occupier,SA,6731,2145.5
2017-03-01,Owner-occupier,TAS,2122,552.0
2017-03-01,Owner-occupier,VIC,25005,10713.3
2017-03-01,Owner-occupier,WA,9415,3574.7
2017-06-01,Owner-occupier,ACT,2228,918.3
2017-06-01,Owner-occupier,NSW,24338,12620.8
2017-06-01,Owner-occupier,NT,643,220.5
2017-06-01,Owner-occupier,QLD,19463,7031.4
2017-06-01,Owner-occupier,SA,6566,2127.0
2017-06-01,Owner-occupier,TAS,2021,528.0
2017-06-01,Owner-occupier,VIC,25194,11155.3
2017-06-01,Owner-occupier,WA,9350,3548.2
2017-09-01,Owner-occupier,ACT,2340,950.2
2017-09-01,Owner-occupier,NSW,26034,13400.2
2017-09-01,Owner-occupier,NT,651,219.0
2017-09-01,Owner-occupier,QLD,19143,6951.5
2017-09-01,Owner-occupier,SA,6469,2060.9
2017-09-01,Owner-occupier,TAS,2025,531.9
2017-09-01,Owner-occupier,VIC,26612,11747.9
2017-09-01,Owner-occupier,WA,9566,3585.2
2017-12-01,Owner-occupier,ACT,2225,920.6
2017-12-01,Owner-occupier,NSW,24460,12720.9
2017-12-01,Owner-occupier,NT,605,219.0
2017-12-01,Owner-occupier,QLD,18660,6989.3
2017-12-01,Owner-occupier,SA,6381,2079.5
2017-12-01,Owner-occupier,TAS,2036,565.5
2017-12-01,Owner-occupier,VIC,26408,11855.0
2017-12-01,Owner-occupier,WA,8868,3466.7
2018-03-01,Owner-occupier,ACT,2228,951.4
2018-03-01,Owner-occupier,NSW,24292,12939.3
2018-03-01,Owner-occupier,NT,595,209.1
2018-03-01,Owner-occupier,QLD,18164,6989.9
2018-03-01,Owner-occupier,SA,6181,2123.8
2018-03-01,Owner-occupier,TAS,2008,559.3
2018-03-01,Owner-occupier,VIC,25702,11919.5
2018-03-01,Owner-occupier,WA,8471,3340.3
2018-06-01,Owner-occupier,ACT,2173,975.7
2018-06-01,Owner-occupier,NSW,24125,12979.2
2018-06-01,Owner-occupier,NT,573,215.5
2018-06-01,Owner-occupier,QLD,18053,6953.6
2018-06-01,Owner-occupier,SA,6286,2132.0
2018-06-01,Owner-occupier,TAS,2078,598.2
2018-06-01,Owner-occupier,VIC,25119,11859.5
2018-06-01,Owner-occupier,WA,8110,3204.0
2018-09-01,Owner-occupier,ACT,2075,917.6
2018-09-01,Owner-occupier,NSW,22639,12026.2
2018-09-01,Owner-occupier,NT,560,205.3
2018-09-01,Owner-occupier,QLD,17370,6713.7
2018-09-01,Owner-occupier,SA,6292,2142.7
2018-09-01,Owner-occupier,TAS,2094,602.0
2018-09-01,Owner-occupier,VIC,23879,11261.5
2018-09-01,Owner-occupier,WA,7994,3056.1
2018-12-01,Owner-occupier,ACT,2269,990.7
2018-12-01,Owner-occupier,NSW,21788,11080.4
2018-12-01,Owner-occupier,NT,543,188.6
2018-12-01,Owner-occupier,QLD,16421,6318.5
2018-12-01,Owner-occupier,SA,6324,2151.6
2018-12-01,Owner-occupier,TAS,2211,634.4
2018-12-01,Owner-occupier,VIC,23214,10416.3
2018-12-01,Owner-occupier,WA,8309,3136.4
2019-03-01,Owner-occupier,ACT,1907,844.1
2019-03-01,Owner-occupier,NSW,20154,10485.9
2019-03-01,Owner-occupier,NT,506,177.1
