date,segment,loan_purpose,loan_count,loan_value_million
2013-09-01,Owner-occupier,Purchase of newly erected dwellings,4824.0,1633.3
2013-09-01,Owner-occupier,Total,82380.0,28963.1
2013-12-01,Owner-occupier,"Alterations, additions and repairs",,721.3
2013-12-01,Owner-occupier,Construction of dwellings,11561.0,4038.8
2013-12-01,Owner-occupier,External refinancing,39223.0,11680.6
2013-12-01,Owner-occupier,Purchase of existing dwellings,67833.0,24710.5
2013-12-01,Owner-occupier,Purchase of newly erected dwellings,5194.0,1807.1
2013-12-01,Owner-occupier,Total,84307.0,30521.6
2014-03-01,Owner-occupier,"Alterations, additions and repairs",,733.5
2014-03-01,Owner-occupier,Construction of dwellings,12349.0,4315.1
2014-03-01,Owner-occupier,External refinancing,37819.0,11945.3
2014-03-01,Owner-occupier,Purchase of existing dwellings,66462.0,25008.3
2014-03-01,Owner-occupier,Purchase of newly erected dwellings,4933.0,1766.5
2014-03-01,Owner-occupier,Total,83810.0,31150.5
2014-06-01,Owner-occupier,"Alterations, additions and repairs",,725.6
2014-06-01,Owner-occupier,Construction of dwellings,12449.0,4406.4
2014-06-01,Owner-occupier,External refinancing,37631.0,12327.9
2014-06-01,Owner-occupier,Purchase of existing dwellings,66301.0,24829.0
2014-06-01,Owner-occupier,Purchase of newly erected dwellings,5168.0,1802.4
2014-06-01,Owner-occupier,Total,84397.0,31147.3
2014-09-01,Owner-occupier,"Alterations, additions and repairs",,716.7
2014-09-01,Owner-occupier,Construction of dwellings,12727.0,4487.7
2014-09-01,Owner-occupier,External refinancing,39161.0,12942.2
2014-09-01,Owner-occupier,Purchase of existing dwellings,65126.0,24619.5
2014-09-01,Owner-occupier,Purchase of newly erected dwellings,5323.0,1889.0
2014-09-01,Owner-occupier,Total,83310.0,30931.9
2014-12-01,Owner-occupier,"Alterations, additions and repairs",,708.8
2014-12-01,Owner-occupier,Construction of dwellings,12501.0,4498.4
2014-12-01,Owner-occupier,External refinancing,40203.0,13499.2
2014-12-01,Owner-occupier,Purchase of existing dwellings,65287.0,24975.7
2014-12-01,Owner-occupier,Purchase of newly erected dwellings,5284.0,1891.8
2014-12-01,Owner-occupier,Total,83001.0,31359.2
2015-03-01,Owner-occupier,"Alterations, additions and repairs",,751.0
2015-03-01,Owner-occupier,Construction of dwellings,11986.0,4339.3
2015-03-01,Owner-occupier,External refinancing,42245.0,14688.3
2015-03-01,Owner-occupier,Purchase of existing dwellings,67448.0,25862.3
2015-03-01,Owner-occupier,Purchase of newly erected dwellings,5497.0,2019.2
2015-03-01,Owner-occupier,Total,84847.0,32230.8
2015-06-01,Owner-occupier,"Alterations, additions and repairs",,787.4
2015-06-01,Owner-occupier,Construction of dwellings,11587.0,4248.0
2015-06-01,Owner-occupier,External refinancing,43307.0,15432.9
2015-06-01,Owner-occupier,Purchase of existing dwellings,65920.0,25801.1
2015-06-01,Owner-occupier,Purchase of newly erected dwellings,5563.0,2092.0
2015-06-01,Owner-occupier,Total,83344.0,32224.9
2015-09-01,Owner-occupier,"Alterations, additions and repairs",,815.0
2015-09-01,Owner-occupier,Construction of dwellings,11272.0,4247.6
2015-09-01,Owner-occupier,External refinancing,43842.0,16840.4
2015-09-01,Owner-occupier,Purchase of existing dwellings,69915.0,29861.8
2015-09-01,Owner-occupier,Purchase of newly erected dwellings,6048.0,2543.1
2015-09-01,Owner-occupier,Total,86819.0,36485.5
2015-12-01,Owner-occupier,"Alterations, additions and repairs",,801.4
2015-12-01,Owner-occupier,Construction of dwellings,11722.0,4379.5
2015-12-01,Owner-occupier,External refinancing,47399.0,18368.1
2015-12-01,Owner-occupier,Purchase of existing dwellings,68891.0,29724.9
2015-12-01,Owner-occupier,Purchase of newly erected dwellings,6108.0,2587.6
2015-12-01,Owner-occupier,Total,86397.0,36749.3
2016-03-01,Owner-occupier,"Alterations, additions and repairs",,803.8
2016-03-01,Owner-occupier,Construction of dwellings,11232.0,4252.7
2016-03-01,Owner-occupier,External refinancing,46570.0,17765.2
2016-03-01,Owner-occupier,Purchase of existing dwellings,67248.0,27859.0
2016-03-01,Owner-occupier,Purchase of newly erected dwellings,6407.0,2587.0
2016-03-01,Owner-occupier,Total,84638.0,34685.6
2016-06-01,Owner-occupier,"Alterations, additions and repairs",,824.6
2016-06-01,Owner-occupier,Construction of dwellings,11523.0,4476.5
